"freq
References : ['S(2,1)','S(4,3)','S(6,5)']
Dependency : [freq]
Num. Points : [221]
Matrix Size : scalar
Type : Real","S(2,1)
References : []
Dependency : [freq]
Num. Points : [221]
Matrix Size : scalar
Type : Complex
Complex Format : Real/Imag","S(4,3)
References : []
Dependency : [freq]
Num. Points : [221]
Matrix Size : scalar
Type : Complex
Complex Format : Real/Imag","S(6,5)
References : []
Dependency : [freq]
Num. Points : [221]
Matrix Size : scalar
Type : Complex
Complex Format : Real/Imag"
8.400 GHz,0.972 + j0.023 ,0.671 - j0.519 ,0.813 - j0.274 
8.450 GHz,0.971 - j0.061 ,0.614 - j0.602 ,0.782 - j0.351 
8.500 GHz,0.962 - j0.145 ,0.545 - j0.682 ,0.745 - j0.424 
8.550 GHz,0.946 - j0.228 ,0.461 - j0.755 ,0.701 - j0.495 
8.600 GHz,0.923 - j0.309 ,0.364 - j0.818 ,0.649 - j0.562 
8.650 GHz,0.893 - j0.388 ,0.253 - j0.870 ,0.592 - j0.624 
8.700 GHz,0.856 - j0.464 ,0.129 - j0.904 ,0.528 - j0.680 
8.750 GHz,0.812 - j0.537 ,-0.004 - j0.918 ,0.458 - j0.731 
8.800 GHz,0.763 - j0.606 ,-0.143 - j0.907 ,0.383 - j0.775 
8.850 GHz,0.707 - j0.670 ,-0.282 - j0.869 ,0.302 - j0.813 
8.900 GHz,0.646 - j0.730 ,-0.413 - j0.802 ,0.218 - j0.843 
8.950 GHz,0.580 - j0.783 ,-0.528 - j0.709 ,0.128 - j0.864 
9.000 GHz,0.509 - j0.831 ,-0.620 - j0.594 ,0.036 - j0.876 
9.050 GHz,0.434 - j0.873 ,-0.683 - j0.464 ,-0.061 - j0.879 
9.100 GHz,0.356 - j0.908 ,-0.715 - j0.329 ,-0.157 - j0.870 
9.150 GHz,0.275 - j0.935 ,-0.717 - j0.197 ,-0.257 - j0.849 
9.200 GHz,0.191 - j0.956 ,-0.693 - j0.076 ,-0.354 - j0.817 
9.250 GHz,0.106 - j0.969 ,-0.648 + j0.029 ,-0.451 - j0.770 
9.300 GHz,0.020 - j0.975 ,-0.589 + j0.115 ,-0.541 - j0.712 
9.350 GHz,-0.066 - j0.973 ,-0.522 + j0.181 ,-0.626 - j0.636 
9.400 GHz,-0.152 - j0.964 ,-0.453 + j0.229 ,-0.700 - j0.550 
9.450 GHz,-0.237 - j0.947 ,-0.384 + j0.261 ,-0.761 - j0.448 
9.500 GHz,-0.321 - j0.922 ,-0.319 + j0.280 ,-0.807 - j0.340 
9.550 GHz,-0.403 - j0.890 ,-0.260 + j0.288 ,-0.831 - j0.221 
9.600 GHz,-0.481 - j0.851 ,-0.207 + j0.287 ,-0.839 - j0.102 
9.650 GHz,-0.556 - j0.804 ,-0.160 + j0.281 ,-0.821 + j0.017 
9.700 GHz,-0.627 - j0.750 ,-0.119 + j0.270 ,-0.787 + j0.128 
9.750 GHz,-0.693 - j0.690 ,-0.084 + j0.256 ,-0.731 + j0.226 
9.800 GHz,-0.754 - j0.624 ,-0.055 + j0.241 ,-0.664 + j0.312 
9.850 GHz,-0.808 - j0.551 ,-0.030 + j0.224 ,-0.585 + j0.378 
9.900 GHz,-0.856 - j0.474 ,-0.009 + j0.207 ,-0.502 + j0.429 
9.950 GHz,-0.895 - j0.391 ,0.008 + j0.190 ,-0.418 + j0.460 
10.00 GHz,-0.927 - j0.304 ,0.021 + j0.173 ,-0.335 + j0.478 
10.05 GHz,-0.950 - j0.215 ,0.032 + j0.157 ,-0.260 + j0.481 
10.10 GHz,-0.964 - j0.122 ,0.041 + j0.142 ,-0.189 + j0.474 
10.15 GHz,-0.969 - j0.029 ,0.048 + j0.128 ,-0.128 + j0.459 
10.20 GHz,-0.963 + j0.065 ,0.052 + j0.114 ,-0.073 + j0.437 
10.25 GHz,-0.948 + j0.158 ,0.056 + j0.102 ,-0.028 + j0.413 
10.30 GHz,-0.923 + j0.248 ,0.058 + j0.090 ,0.012 + j0.384 
10.35 GHz,-0.887 + j0.335 ,0.060 + j0.080 ,0.044 + j0.356 
10.40 GHz,-0.843 + j0.418 ,0.060 + j0.070 ,0.070 + j0.325 
10.45 GHz,-0.790 + j0.494 ,0.060 + j0.061 ,0.091 + j0.297 
10.50 GHz,-0.730 + j0.564 ,0.059 + j0.053 ,0.108 + j0.268 
10.55 GHz,-0.662 + j0.625 ,0.058 + j0.045 ,0.120 + j0.243 
10.60 GHz,-0.590 + j0.678 ,0.057 + j0.039 ,0.129 + j0.216 
10.65 GHz,-0.513 + j0.721 ,0.055 + j0.032 ,0.136 + j0.193 
10.70 GHz,-0.433 + j0.755 ,0.053 + j0.027 ,0.140 + j0.171 
10.75 GHz,-0.352 + j0.780 ,0.050 + j0.022 ,0.142 + j0.151 
10.80 GHz,-0.271 + j0.795 ,0.048 + j0.018 ,0.142 + j0.131 
10.85 GHz,-0.190 + j0.801 ,0.046 + j0.014 ,0.142 + j0.115 
