Frequency (Hz),Real,Imaginary,Real,Imaginary
9235000000,0.228363037,-0.092956543,0.120697021,-0.130058289
9280000000,0.217796326,-0.117988586,0.10269928,-0.135261536
9325000000,0.202644348,-0.143165588,0.086013794,-0.139694214
9370000000,0.191734314,-0.168930054,0.067443848,-0.152381897
9415000000,0.162261963,-0.189537048,0.051689148,-0.152359009
9460000000,0.137054443,-0.204620361,0.035583496,-0.153579712
9505000000,0.106430054,-0.215278625,0.018218994,-0.150848389
9550000000,0.074966431,-0.218971252,0.000846863,-0.153785706
9595000000,0.038597107,-0.217300415,-0.020431519,-0.145889282
9640000000,0.01751709,-0.206092834,-0.030570984,-0.143943787
9685000000,-0.007034302,-0.196838379,-0.046981812,-0.136001587
9730000000,-0.031417847,-0.180656433,-0.063270569,-0.125091553
9775000000,-0.053474426,-0.159126282,-0.078865051,-0.111694336
9820000000,-0.064407349,-0.133460999,-0.086212158,-0.098670959
9865000000,-0.069671631,-0.113960266,-0.098190308,-0.086578369
9910000000,-0.07157135,-0.092185974,-0.109237671,-0.067825317
9955000000,-0.068969727,-0.063316345,-0.107528687,-0.049987793
10000000000,-0.05865097,-0.047019958,-0.113853455,-0.033241272
